20,23
0,10000,CHANNEL,30,0,0,0,0,0
1,20000,CHANNEL,-30,0,0,0,0,0
2,30000,CHANNEL,30,0,0,0,0,0
3,40000,CHANNEL,-30,0,0,0,0,0
4,50000,CHANNEL,30,0,0,0,0,0
5,60000,CHANNEL,-30,0,0,0,0,0
6,70000,CHANNEL,30,0,0,0,0,0
7,80000,CHANNEL,-30,0,0,0,0,0
8,90000,CHANNEL,30,0,0,0,0,0
9,100000,CHANNEL,-30,0,0,0,0,0
10,110000,CHANNEL,30,0,0,0,0,0
11,120000,CHANNEL,-30,0,0,0,0,0
12,130000,CHANNEL,30,0,0,0,0,0
13,140000,CHANNEL,-30,0,0,0,0,0
14,150000,CHANNEL,30,0,0,0,0,0
15,160000,ZOOM,0.5,0,0,0,0,0
16,170000,ZOOM,1,0,0,0,0,0
17,180000,ZOOM,0.5,0,0,0,0,0
18,190000,ZOOM,0.2,0,0,0,0,0
19,200000,ZOOM,1,0,0,0,0,0
